RiverSystem,Habitat,N,TotalPCBs,sd,se,ci
Duckabush,Delta,6,14.016666666666667,5.723780801766142,2.3367237273109067,6.006739568325799
Dungeness,Delta,5,11.22,3.1451550041293674,1.4065560778013795,3.905225737397847
Duwamish,Delta,7,46.285714285714285,21.140122088217986,7.990215104424035,19.551352032212705
Elwha,Delta,8,6.9625,1.1758735354741903,0.4157340753758001,0.9830548768471191
Lk Washington,Freshwater,4,26.25,4.924428900898052,2.462214450449026,7.835865280647658
Nisqually,Delta,11,21.454545454545453,3.9335387722415134,1.1860065641673043,2.6425873043319226
Nooksack,Delta,1,9.1,NA,NA,NA
Puyallup,Delta,6,28.833333333333332,15.879756505270056,6.482883446258908,16.664782429500494
Skagit,Delta,9,7.133333333333332,2.289650628371063,0.7632168761236877,1.7599812723988297
Skokomish,Delta,4,12,1.4142135623730951,0.7071067811865476,2.2503293632281833
Snohomish,Delta,51,20.876470588235293,12.749079782247724,1.7852282508765644,3.5857364704778263
Stillaguamish,Delta,5,9.86,2.7382476148076895,1.2245815611873307,3.3999834814740364
